State_A,State_B,Adjacent_Flag,Source_URL
AR,LA,1,Prototype reviewed mapping; replace with authoritative geography
AR,MO,1,Prototype reviewed mapping; replace with authoritative geography
AR,MS,1,Prototype reviewed mapping; replace with authoritative geography
AR,TX,1,Prototype reviewed mapping; replace with authoritative geography
IA,IL,1,Prototype reviewed mapping; replace with authoritative geography
IA,MN,1,Prototype reviewed mapping; replace with authoritative geography
IA,MO,1,Prototype reviewed mapping; replace with authoritative geography
IA,SD,1,Prototype reviewed mapping; replace with authoritative geography
IA,WI,1,Prototype reviewed mapping; replace with authoritative geography
IL,IN,1,Prototype reviewed mapping; replace with authoritative geography
IL,KY,1,Prototype reviewed mapping; replace with authoritative geography
IL,MO,1,Prototype reviewed mapping; replace with authoritative geography
IL,WI,1,Prototype reviewed mapping; replace with authoritative geography
IN,KY,1,Prototype reviewed mapping; replace with authoritative geography
IN,MI,1,Prototype reviewed mapping; replace with authoritative geography
IN,OH,1,Prototype reviewed mapping; replace with authoritative geography
IN,WI,1,Prototype reviewed mapping; replace with authoritative geography
KS,MO,1,Prototype reviewed mapping; replace with authoritative geography
KY,MO,1,Prototype reviewed mapping; replace with authoritative geography
LA,MS,1,Prototype reviewed mapping; replace with authoritative geography
LA,TX,1,Prototype reviewed mapping; replace with authoritative geography
MI,WI,1,Prototype reviewed mapping; replace with authoritative geography
MN,ND,1,Prototype reviewed mapping; replace with authoritative geography
MN,SD,1,Prototype reviewed mapping; replace with authoritative geography
MN,WI,1,Prototype reviewed mapping; replace with authoritative geography
MO,MS,1,Prototype reviewed mapping; replace with authoritative geography
MO,OK,1,Prototype reviewed mapping; replace with authoritative geography
MO,TN,1,Prototype reviewed mapping; replace with authoritative geography
MS,TN,1,Prototype reviewed mapping; replace with authoritative geography
MT,ND,1,Prototype reviewed mapping; replace with authoritative geography
MT,SD,1,Prototype reviewed mapping; replace with authoritative geography
ND,SD,1,Prototype reviewed mapping; replace with authoritative geography
