Region_ID,Study Group,Project_Count,States
AK,SOUTH,1,AK
AR,NO_GROUP,2,AR
AR,SOUTH,234,AR
AR,UNKNOWN,5,AR
IA,CENTRAL,1,IA
IA,UNKNOWN,13,IA
IA,WEST,166,IA
IL,CENTRAL,288,IL
IL,EAST (ATC),1,IL
IL,NO_GROUP,3,IL
IL,UNKNOWN,5,IL
IL,WEST,11,IL
IN,CENTRAL,121,IN
IN,UNKNOWN,4,IN
KY,CENTRAL,24,KY
LA,SOUTH,165,LA
LA,UNKNOWN,3,LA
MI,EAST (ATC),31,MI
MI,EAST (ITC),79,MI
MI,UNKNOWN,9,MI
MN,UNKNOWN,12,MN
MN,WEST,195,MN
MO,CENTRAL,30,MO
MO,SOUTH,4,MO
MO,UNKNOWN,4,MO
MO,WEST,3,MO
MS,SOUTH,95,MS
MT,WEST,1,MT
ND,UNKNOWN,3,ND
ND,WEST,65,ND
SD,UNKNOWN,1,SD
SD,WEST,42,SD
TX,CENTRAL,2,TX
TX,SOUTH,20,TX
TX,UNKNOWN,4,TX
UNKNOWN,CENTRAL,5,
UNKNOWN,EAST (ATC),6,
UNKNOWN,EAST (ITC),10,
UNKNOWN,NO_GROUP,3,
UNKNOWN,SOUTH,22,
UNKNOWN,UNKNOWN,45,
UNKNOWN,WEST,9,
WI,EAST (ATC),164,WI
WI,NO_GROUP,2,WI
WI,UNKNOWN,22,WI
WI,WEST,30,WI
