Region_ID,Total_Queue_Projects,Open_Projects,Open_Queue_MW,Median_Queue_Age_Months,P90_Queue_Age_Months,Withdrawn_Projects,Done_Projects,Historical_Withdrawal_Rate,Total_Load_Growth_MW,Near_Term_Load_Growth_MW,Load_Growth_2030_2032_MW,Regional_Need_Score_0_9,Risk_Adjusted_Queue_MW,MISO_Footprint_Fraction,Accredited_Capacity_MW,Effective_Accredited_Capacity_MW,Queue_Cap_MW,Available_Queue_MW,Queue_Cap_Utilization,Available_Project_Positions,Market_Window_Status,Risk_Adjusted_Queue_MW_need,Cumulative_Load_Growth_2032_MW,Near_Term_Load_Growth_2030_MW
AK,1,0,0.0,28.84599589322382,28.84599589322382,1,0,1.0,,,,,,,,,,,,,DATA REQUIRED,,,
AR,406,80,19597.1,47.83572895277207,88.41067761806981,270,55,0.6650246305418719,1973.0,1973.0,1030.0,4.0,11471.671298789957,,,,,,,,DATA REQUIRED,11471.671298789957,1973.0,1973.0
IA,228,74,15029.54,48.16427104722793,101.97946611909651,116,38,0.5087719298245614,5546.0,5546.0,2359.0,7.0,6838.477583849638,,,,,,,,DATA REQUIRED,6838.477583849638,5546.0,5546.0
IL,494,208,39267.11,47.83572895277207,101.97946611909651,218,68,0.44129554655870445,738.0,738.0,,2.0,26999.476528874013,,,,,,,,DATA REQUIRED,26999.476528874013,738.0,738.0
IN,468,98,21091.5,51.51540041067762,88.41067761806981,298,72,0.6367521367521367,11997.0,10759.0,4866.0,9.0,14659.474694515482,,,,,,,,DATA REQUIRED,14659.474694515482,11997.0,10759.0
KY,63,9,1317.0,53.61806981519507,88.41067761806981,46,8,0.7301587301587301,2282.0,482.0,1800.0,4.0,807.8704298430662,,,,,,,,DATA REQUIRED,807.8704298430662,2282.0,482.0
LA,387,65,14439.51,47.86858316221766,88.41067761806981,267,54,0.689922480620155,5938.0,3938.0,2130.0,8.0,7985.372465451798,,,,,,,,DATA REQUIRED,7985.372465451798,5938.0,3938.0
MI,530,210,43123.09,47.86858316221766,101.97946611909651,244,75,0.46037735849056605,3603.0,3603.0,545.0,6.0,21507.72610316436,,,,,,,,DATA REQUIRED,21507.72610316436,3603.0,3603.0
MN,285,101,18701.9,47.86858316221766,107.78151950718681,158,26,0.5543859649122806,3058.0,3058.0,1526.0,5.0,8177.15681205058,,,,,,,,DATA REQUIRED,8177.15681205058,3058.0,3058.0
MO,129,33,8608.43,53.190965092402465,101.97946611909651,77,19,0.5968992248062015,4042.0,4042.0,1250.0,7.0,6370.90011192661,,,,,,,,DATA REQUIRED,6370.90011192661,4042.0,4042.0
MS,204,36,5656.6,47.86858316221766,97.93839835728976,145,23,0.7107843137254902,2543.0,2543.0,751.0,5.0,2986.9440340492783,,,,,,,,DATA REQUIRED,2986.9440340492783,2543.0,2543.0
MT,1,0,0.0,74.54620123203286,74.54620123203286,1,0,1.0,,,,,,,,,,,,,DATA REQUIRED,,,
ND,87,15,2625.0,60.4517453798768,110.81724845995893,67,5,0.7701149425287356,2116.0,2116.0,1260.0,3.0,1385.9074244003743,,,,,,,,DATA REQUIRED,1385.9074244003743,2116.0,2116.0
SD,46,13,4056.2,47.83572895277207,110.81724845995893,28,5,0.6086956521739131,,,,1.0,2029.3955855538263,,,,,,,,DATA REQUIRED,2029.3955855538263,,
TX,91,14,3185.3,48.03285420944559,101.97946611909651,67,10,0.7362637362637363,,,,1.0,1688.2073944317913,,,,,,,,DATA REQUIRED,1688.2073944317913,,
UNKNOWN,154,89,31094.93,11.104722792607802,55.10308008213553,25,39,0.16233766233766234,,,,2.0,18254.621992460612,,,,,,,,DATA REQUIRED,18254.621992460612,,
WI,248,71,14590.46,58.743326488706366,102.00903490759754,115,62,0.4637096774193548,6855.0,6855.0,3992.0,8.0,8500.816324068312,,,,,,,,DATA REQUIRED,8500.816324068312,6855.0,6855.0
