Project #,Participating_MW,Withdrawal_Step,Allocated_Cost,Cost_Increase_Pct,Cascade_Risk_Flag,Baseline_Cost
SCENARIO-A,400,0,40000000.0,0.0,False,40000000.0
SCENARIO-B,300,0,30000000.0,0.0,False,30000000.0
SCENARIO-C,200,0,20000000.0,0.0,False,20000000.0
SCENARIO-D,100,0,10000000.0,0.0,False,10000000.0
SCENARIO-A,400,1,44444444.44444445,11.111111111111116,False,40000000.0
SCENARIO-B,300,1,33333333.333333332,11.111111111111116,False,30000000.0
SCENARIO-C,200,1,22222222.222222224,11.111111111111116,False,20000000.0
SCENARIO-A,400,2,57142857.14285714,42.85714285714286,True,40000000.0
SCENARIO-B,300,2,42857142.85714286,42.85714285714286,True,30000000.0
SCENARIO-A,400,3,100000000.0,150.0,True,40000000.0
